id_contrato,id_cliente,tipo_seguro,data_inicio,data_fim,valor_premio_mensal,satisfacao_ultima_avaliacao,canal_venda,renovado_automaticamente
63d107e8-f5ee-4df0-807a-4f27b0906442,C04508,Empresarial,2023-02-18,2023-08-17,892.3,Média,Site,False
f94c5617-08a1-44ec-88c9-85693e21f5a7,C04599,Vida,2023-08-31,2025-08-30,962.07,Baixa,Agência Física,False
036e784d-6795-473f-8097-962d41257043,C00331,Vida,2024-12-12,2025-06-10,511.69,Baixa,App,False
2300ac83-89de-49dc-bead-52c95f761041,C01590,Residencial,2023-09-16,2024-09-15,417.14,Baixa,Corretor,False
318fc49f-635d-406d-8e6f-4438ad560b1b,C00378,Vida,2024-09-27,2025-03-26,996.09,Baixa,App,True
2d4f5f9d-4ec8-4b95-a979-4435c45d3019,C00840,Residencial,2022-11-11,2024-11-10,721.18,Baixa,App,True
61f91369-68cf-486f-af81-929536d5c470,C04157,Saúde,2024-07-16,2025-07-16,904.8,Alta,Agência Física,False
2e0ee559-23cf-434c-a518-39f8e976c608,C04703,Auto,2022-08-21,2023-02-17,1094.81,Média,Agência Física,True
92997392-c36c-4871-a281-47943235d311,C03301,Saúde,2023-04-26,2025-04-25,965.76,Baixa,Site,False
3ec51cd1-3417-4439-837c-14d9b1a13276,C02429,Saúde,2023-10-08,2025-10-07,1158.48,Baixa,Site,True
6142abfe-ba14-42bb-a6bf-5b37df40d1a0,C04278,Vida,2024-08-05,2025-08-05,840.08,Média,Site,True
0e1ed17a-e81b-451b-825f-2dade782cbca,C01204,Saúde,2023-04-17,2024-04-16,226.18,Alta,Agência Física,True
bfb60de4-b62a-4a58-9d51-a89426800aaa,C01435,Auto,2024-04-25,2024-10-22,342.64,Alta,Agência Física,True
f76a843e-e193-41d3-9e8b-236dabf3b85f,C03522,Saúde,2022-12-18,2023-12-18,874.99,Alta,Site,True
ce4e9517-dcab-4542-adc9-27578235f192,C04571,Vida,2024-01-18,2025-01-17,645.15,Alta,Site,False
d83496a0-3905-464f-bd05-0f129f95402d,C00251,Empresarial,2025-02-15,2027-02-15,326.96,Alta,Agência Física,True
f4480cbf-2afc-45c9-833e-fcd496749900,C04260,Vida,2023-04-07,2025-04-06,542.6,Baixa,Agência Física,True
1399f578-6f80-41f9-9e5f-2cdd90ce5c56,C04262,Saúde,2023-05-21,2023-11-17,1154.96,Média,App,False
0cdf6159-9336-42a6-b936-f326d7f96d6c,C03339,Auto,2024-08-21,2026-08-21,1473.87,Baixa,Site,False
c5dd6a25-1024-4410-824b-7ab67a487443,C00246,Vida,2022-07-24,2024-07-23,656.85,Média,Corretor,False
164cebd2-3ad2-4222-acbc-214400829f1b,C02180,Saúde,2024-06-04,2024-12-01,623.06,Média,Agência Física,False
c17ee0ad-2ddb-4cce-912f-55bc14cc7424,C00597,Auto,2022-10-25,2023-04-23,877.75,Média,App,True
130888b8-66d2-412f-ad89-2adb803e2e2b,C01559,Residencial,2023-01-12,2025-01-11,891.54,Alta,Agência Física,True
0f5a0a1c-c1bb-4aa7-be12-c30e3ca3abfe,C02188,Saúde,2024-01-18,2025-01-17,291.51,Baixa,Agência Física,False
f25a6a33-19cd-4710-a44f-093aecc8fb91,C00333,Vida,2025-02-18,2025-08-17,759.35,Alta,App,True
b21d1ded-d995-4639-8dc0-70ec2a7f6b6a,C04210,Saúde,2025-02-07,2026-02-07,634.76,Média,App,True
a3db0e2d-037f-49d1-82e2-86a947a187c0,C00957,Saúde,2023-01-24,2024-01-24,366.92,Alta,Corretor,False
d78a8550-cb03-4435-9143-366b09f5d7e1,C00209,Auto,2024-08-15,2025-02-11,612.77,Alta,Agência Física,True
ca11bacf-7c07-49d8-8905-bf304e216577,C02401,Saúde,2025-06-17,2027-06-17,183.89,Baixa,Agência Física,True
afe8a6b2-0134-403b-a08d-474457d4a8f7,C03713,Vida,2024-09-24,2025-09-24,1305.32,Baixa,Corretor,False
a6ba03cc-9505-4164-a9b7-e177a767e21f,C03369,Vida,2024-12-25,2026-12-25,151.42,Média,Corretor,False
db589671-ae44-479b-bdde-06cbf486539f,C02213,Empresarial,2022-12-01,2023-05-30,705.72,Baixa,Agência Física,False
f34f2579-9132-43ae-b86d-6ebe4fa01e72,C01330,Empresarial,2024-05-08,2024-11-04,1337.32,Baixa,Site,False
8adf4030-7a7e-4c84-afcf-0b90fa154cef,C01066,Vida,2024-12-11,2026-12-11,569.26,Baixa,App,False
21ed0da4-5025-41d3-9800-dd22884dc829,C03885,Auto,2025-01-28,2026-01-28,1474.42,Baixa,App,False
2418a08b-5dc6-472a-ad43-0078a4fe2bf1,C00187,Saúde,2023-03-23,2024-03-22,1037.98,Média,App,True
8aec4eee-2bd6-46db-872e-0e4be3dfbef8,C01626,Empresarial,2025-05-12,2025-11-08,409.6,Alta,Agência Física,False
ccf81883-6336-4155-9eea-64bd0678df54,C01403,Residencial,2023-09-26,2024-03-24,1380.46,Média,App,False
cd418e40-89ae-45c3-b8ba-0460ebce8910,C04463,Empresarial,2024-08-16,2025-02-12,95.11,Alta,App,True
