cliente_id,genero,data_nascimento,idade,renda_mensal,nivel_educacional,qtd_dependente,tipo_seguro,valor_premio_mensal,satisfacao_score,canal_venda,renovado_automaticamente,inicio,fim,duracao_dias,id_contrato_legado,id_cliente_legado,valor_premio_sobre_renda,interacao_idade_renda,probabilidade_cancelamento,cancelamento_previsto
5,O,1960-07-09,65.0,18005.32,Fundamental,0,Empresarial,824.41,2,App,True,2023-10-29,2025-10-28,730,11827,5,0.045787022946551355,1170345.8,0.1974399735622342,0
9,M,1952-11-01,73.0,9810.37,Superior,0,Vida,831.73,1,Corretor,False,2023-10-30,2025-10-29,730,11562,9,0.08478069634478617,716157.01,0.27054761638840436,0
10,M,1993-02-11,32.0,15537.94,Médio,0,Saúde,724.32,2,Agência Física,False,2025-07-06,2027-07-06,730,8490,10,0.046616218108706815,497214.08,0.22361253228164565,0
10,M,1993-02-11,32.0,15537.94,Médio,0,Saúde,154.05,1,Agência Física,True,2025-02-08,2026-02-08,365,11860,10,0.009914441682745589,497214.08,0.2576400450579227,0
11,F,1953-02-08,72.0,7794.63,Médio,1,Auto,92.24,3,Corretor,True,2024-10-13,2026-10-13,730,1450,11,0.01183378813362533,561213.36,0.32526253169007174,1
11,F,1953-02-08,72.0,7794.63,Médio,1,Auto,322.51,2,App,True,2024-09-19,2026-09-19,730,4816,11,0.04137592162809524,561213.36,0.15129808085023078,0
12,F,2003-11-19,22.0,3390.89,Pós,1,Auto,1272.44,3,Site,True,2024-11-30,2026-11-30,730,9863,12,0.37525251482649097,74599.58,0.23555840758706978,0
15,F,1959-11-08,66.0,2957.8,Superior,2,Saúde,1343.31,2,Site,False,2023-07-28,2025-07-27,730,3661,15,0.4541584961795929,195214.8,0.13740554372186833,0
15,F,1959-11-08,66.0,2957.8,Superior,2,Auto,1481.88,2,Agência Física,False,2025-01-27,2025-07-26,180,4202,15,0.5010075055784705,195214.8,0.23788613578683648,0
16,O,1956-09-13,69.0,12942.62,Superior,2,Empresarial,153.03,1,Corretor,False,2025-03-27,2027-03-27,730,5734,16,0.011823726571590606,893040.78,0.23779830744201566,0
18,M,2006-05-29,19.0,15801.76,Fundamental,0,Empresarial,1289.46,3,App,True,2023-10-16,2025-10-15,730,10910,18,0.08160230252832595,300233.44,0.271196905114832,0
19,M,1979-08-31,46.0,17529.95,Pós,4,Empresarial,288.6,1,Site,True,2024-08-07,2026-08-07,730,8063,19,0.01646325289005388,806377.7,0.22624044529074464,0
25,O,1957-09-07,68.0,7499.23,Fundamental,6,Vida,1339.71,2,Corretor,True,2024-09-25,2025-09-25,365,4186,25,0.17864634102434518,509947.64,0.31219301073590905,1
27,M,1994-10-07,31.0,5403.18,Técnico,0,Residencial,1413.32,2,Agência Física,True,2023-09-07,2025-09-06,730,3005,27,0.2615718891467617,167498.58,0.19224084820357687,0
27,M,1994-10-07,31.0,5403.18,Técnico,0,Residencial,300.68,2,Corretor,True,2023-09-01,2025-08-31,730,6026,27,0.055648710574143376,167498.58,0.13969404257027437,0
29,O,1980-02-04,45.0,9988.76,Superior,2,Residencial,117.47,1,Agência Física,True,2023-11-25,2025-11-24,730,3959,29,0.01176021848557779,449494.2,0.3520871730468334,1
32,F,2006-12-19,19.0,5557.43,Médio,1,Saúde,467.07,2,Site,False,2025-05-08,2027-05-08,730,2225,32,0.08404424347225246,105591.17,0.3723245102262527,1
32,F,2006-12-19,19.0,5557.43,Médio,1,Auto,245.67,2,App,False,2025-02-02,2027-02-02,730,11506,32,0.044205685001880365,105591.17,0.22534300259297427,0
33,F,1976-12-03,49.0,3181.82,Fundamental,2,Vida,1165.91,1,Corretor,False,2023-11-25,2025-11-24,730,6714,33,0.3664286477550584,155909.18,0.22245932927951345,0
35,O,1969-08-05,56.0,9309.96,Fundamental,4,Auto,545.77,2,Site,False,2025-03-17,2027-03-17,730,3342,35,0.0586221637901774,521357.76,0.18648081586886306,0
35,O,1969-08-05,56.0,9309.96,Fundamental,4,Empresarial,876.23,3,Agência Física,True,2025-01-02,2027-01-02,730,7167,35,0.09411748278188091,521357.76,0.2599786098416919,0
36,F,1969-10-26,56.0,12523.94,Pós,1,Empresarial,124.67,1,App,True,2024-11-01,2026-11-01,730,4129,36,0.009954535074425461,701340.64,0.4352110098246655,1
