iter	F1	Logloss
0	0.6969592853	0.6630202302
1	0.748143258	0.6398532071
2	0.7580843226	0.6172864467
3	0.8041935992	0.593974595
4	0.8060758697	0.5738851612
5	0.8075774249	0.5557808304
6	0.8078585462	0.5441366716
7	0.813638852	0.5306101159
8	0.8240310078	0.51411331
9	0.8233012721	0.5045970483
10	0.8226620101	0.4942250152
11	0.819179575	0.485851151
12	0.8198226233	0.4781295771
13	0.823757463	0.4689865107
14	0.8236662531	0.4629175331
15	0.8257605078	0.4545069495
16	0.8256696083	0.4484621827
17	0.8264871973	0.442292638
18	0.8258513932	0.4364389753
19	0.8306482695	0.4322290495
20	0.8306482695	0.4281858851
21	0.830197409	0.4247498767
22	0.8296559173	0.4208936906
23	0.8296559173	0.4172730023
24	0.8295656199	0.41447665
25	0.8292042911	0.4113349865
26	0.829023543	0.4087264751
27	0.8284809638	0.4065296839
28	0.8301071952	0.4038034226
29	0.8300169675	0.401948125
30	0.8300169675	0.3998274064
31	0.8294753086	0.3978002964
32	0.8293849834	0.395844431
33	0.830197409	0.3937925607
34	0.8321785989	0.3920136335
35	0.8319987681	0.3906516867
36	0.8316389402	0.389278702
37	0.8316389402	0.3877895548
38	0.8313689238	0.3864549757
39	0.8305581252	0.3847268426
40	0.830197409	0.3835734101
41	0.8299267258	0.3821446637
42	0.830918619	0.3811951897
43	0.8308285164	0.3804717995
44	0.8307383999	0.3797563216
45	0.8302876089	0.3791212336
46	0.8301071952	0.3778022313
47	0.8300169675	0.3766269577
48	0.8300169675	0.375784981
49	0.8310987826	0.3742961828
50	0.8310987826	0.3736141371
51	0.8310087077	0.3730286685
52	0.831728918	0.3707044944
53	0.831728918	0.3702001892
54	0.8316389402	0.3692006412
55	0.8315489486	0.3688605563
56	0.8315489486	0.368094947
57	0.8313689238	0.3673794342
58	0.8313689238	0.3669304284
59	0.8312788906	0.3661226211
60	0.8310987826	0.3656754713
61	0.8310987826	0.365410609
62	0.8310987826	0.3649537376
63	0.8310987826	0.364560771
64	0.8311888435	0.3641533993
65	0.8311888435	0.3636358352
