iter	Passed	Remaining
0	17	17635
1	39	19664
2	52	17464
3	62	15574
4	70	14015
5	76	12678
6	83	11820
7	90	11176
8	96	10593
9	102	10118
10	107	9693
11	113	9329
12	118	9026
13	124	8753
14	130	8537
15	136	8389
16	142	8213
17	148	8090
18	153	7943
19	159	7820
20	165	7704
21	171	7604
22	177	7540
23	184	7485
24	190	7433
25	198	7450
26	207	7493
27	214	7450
28	221	7405
29	227	7353
30	234	7326
31	240	7282
32	247	7253
33	254	7226
34	260	7191
35	267	7167
36	274	7144
37	281	7137
38	288	7121
39	295	7097
40	302	7074
41	308	7046
42	315	7028
43	321	6995
44	327	6959
45	333	6911
46	339	6874
47	345	6845
48	351	6816
49	357	6784
50	362	6749
51	368	6722
52	374	6691
53	381	6678
54	387	6654
55	392	6623
56	398	6597
57	404	6571
58	410	6544
59	416	6518
60	421	6493
61	428	6477
62	433	6453
63	439	6433
64	446	6420
65	452	6403
66	458	6381
67	463	6358
68	470	6342
69	476	6324
70	481	6305
71	487	6288
72	493	6267
73	499	6249
74	505	6233
75	511	6214
76	518	6209
77	524	6199
78	531	6190
79	537	6177
80	543	6160
81	550	6165
82	556	6149
83	562	6132
84	568	6118
85	574	6101
86	579	6085
87	585	6069
88	591	6052
89	597	6038
90	603	6023
91	609	6014
92	615	6002
93	621	5991
94	627	5977
95	633	5964
96	639	5951
97	645	5941
98	651	5929
99	657	5914
100	662	5896
101	667	5880
102	673	5865
103	678	5848
104	685	5847
105	691	5834
106	697	5824
107	703	5813
108	709	5801
109	715	5790
110	721	5779
111	727	5768
112	733	5756
113	739	5744
114	745	5737
115	751	5728
116	757	5717
117	763	5706
118	769	5694
119	775	5688
120	782	5681
121	788	5671
122	794	5662
123	799	5650
124	805	5638
125	811	5625
126	816	5615
127	822	5604
128	828	5594
129	834	5586
130	840	5576
131	846	5566
132	852	5556
133	858	5546
134	864	5536
135	869	5524
136	875	5514
137	881	5506
138	886	5494
139	893	5487
140	899	5478
141	905	5469
142	911	5461
143	916	5449
144	922	5440
145	928	5429
146	933	5418
147	939	5410
148	945	5399
149	950	5385
150	956	5375
151	961	5364
152	967	5354
153	973	5345
154	978	5335
155	984	5326
156	990	5317
157	995	5307
158	1001	5298
159	1007	5287
160	1014	5284
161	1021	5286
162	1029	5284
163	1035	5280
164	1042	5276
165	1049	5270
166	1055	5265
167	1061	5257
168	1067	5248
169	1073	5241
170	1079	5231
171	1085	5224
172	1091	5216
173	1096	5206
174	1102	5198
175	1108	5189
176	1114	5180
177	1119	5172
178	1126	5164
179	1132	5157
180	1137	5148
181	1143	5140
182	1150	5135
183	1156	5127
184	1162	5121
185	1168	5115
186	1174	5106
187	1181	5101
188	1186	5092
189	1192	5083
190	1198	5075
191	1204	5067
192	1209	5057
193	1215	5049
194	1221	5041
195	1227	5033
196	1232	5025
197	1238	5017
198	1244	5009
199	1250	5001
200	1256	4994
201	1262	4986
202	1268	4980
203	1274	4971
204	1279	4963
205	1286	4957
206	1291	4948
207	1297	4939
208	1304	4935
209	1310	4929
210	1316	4922
211	1322	4913
212	1327	4905
213	1333	4897
214	1339	4890
215	1344	4880
216	1350	4873
217	1356	4865
218	1362	4858
219	1368	4850
220	1373	4841
221	1379	4835
222	1385	4828
223	1391	4820
224	1397	4812
225	1402	4804
226	1408	4796
227	1414	4788
228	1421	4785
229	1427	4778
230	1433	4771
231	1439	4764
232	1445	4758
233	1451	4751
234	1457	4744
235	1463	4738
236	1469	4730
237	1474	4722
238	1480	4715
239	1486	4706
240	1491	4698
241	1497	4691
242	1503	4683
243	1509	4676
244	1515	4669
245	1520	4661
246	1526	4655
247	1532	4647
248	1538	4640
249	1544	4633
250	1550	4625
251	1556	4620
252	1562	4613
253	1568	4607
254	1574	4600
255	1580	4593
256	1586	4586
257	1592	4579
258	1598	4572
259	1604	4565
260	1610	4559
261	1616	4553
262	1622	4547
263	1628	4539
264	1634	4532
265	1639	4524
266	1645	4517
267	1651	4509
268	1656	4502
269	1662	4495
270	1669	4490
271	1675	4483
272	1680	4475
273	1686	4469
274	1692	4462
275	1698	4454
276	1704	4447
277	1709	4440
278	1715	4432
279	1721	4425
280	1726	4418
281	1734	4415
282	1740	4409
283	1746	4403
284	1752	4396
285	1758	4389
286	1763	4382
287	1769	4375
288	1775	4368
289	1781	4361
290	1787	4355
291	1793	4348
292	1799	4341
293	1805	4335
294	1811	4328
295	1817	4321
296	1822	4314
297	1828	4307
298	1834	4300
299	1840	4293
300	1846	4286
301	1852	4280
302	1857	4273
303	1864	4267
304	1869	4260
305	1875	4253
306	1881	4247
307	1887	4239
308	1892	4232
309	1898	4226
310	1904	4219
311	1911	4214
312	1916	4207
313	1922	4200
314	1928	4193
315	1934	4186
316	1939	4179
317	1945	4173
318	1951	4166
319	1957	4159
320	1963	4152
321	1968	4144
322	1974	4138
323	1980	4131
324	1986	4125
325	1994	4123
326	2001	4120
327	2008	4114
328	2014	4109
329	2021	4103
330	2027	4098
331	2034	4094
332	2041	4088
333	2047	4082
334	2053	4075
335	2058	4068
336	2064	4061
337	2070	4054
338	2076	4049
339	2082	4042
340	2088	4035
341	2094	4029
342	2100	4022
343	2105	4015
344	2111	4008
345	2117	4002
346	2124	3997
347	2129	3989
