id_cliente,idade,renda_mensal,tipo_seguro,valor_premio_mensal,satisfacao_ultima_avaliacao,renovado_automaticamente,duracao_dias,satisfacao_score,valor_premio_sobre_renda,interacao_idade_renda,prob_cancelamento,tende_cancelar
4599,67,18950.78,Vida,962.07,Baixa,0,730.0,0,0.05076677582664144,1269702.26,0.41797836165466257,1
2429,77,13945.07,Saúde,1158.48,Baixa,1,730.0,0,0.08307452024263773,1073770.39,0.4822182909514592,1
333,56,13616.06,Vida,759.35,Alta,1,180.0,2,0.05576870254684542,762499.36,0.4251364333765527,1
1066,53,2435.35,Vida,569.26,Baixa,0,730.0,0,0.23374874248054694,129073.54999999999,0.40893648945970745,1
3741,80,14046.85,Auto,123.5,Alta,0,730.0,2,0.008792006748844047,1123748.0,0.4594097484195883,1
3437,75,17180.51,Saúde,218.28,Média,0,365.0,1,0.012705094319085989,1288538.2499999998,0.46184381916348993,1
4552,55,1558.61,Vida,1048.43,Média,0,730.0,1,0.6726698789305857,85723.54999999999,0.6364668685243702,1
1936,36,2256.18,Saúde,284.3,Alta,0,730.0,2,0.12600944960065244,81222.48,0.42252278024184975,1
2080,75,15700.08,Empresarial,947.92,Baixa,1,730.0,0,0.060376762411401726,1177506.0,0.5691075403007985,1
944,33,16440.54,Auto,244.63,Média,1,730.0,1,0.014879681567637072,542537.8200000001,0.4963912433381442,1
1115,71,19358.57,Residencial,1019.64,Baixa,1,730.0,0,0.05267124586165197,1374458.47,0.4918953643920737,1
2942,38,11245.4,Residencial,846.29,Média,1,730.0,1,0.07525654934462091,427325.2,0.4315835566835145,1
700,43,2345.74,Empresarial,1303.99,Alta,1,365.0,2,0.5558970729918917,100866.81999999999,0.47208244046004255,1
3628,41,17370.97,Residencial,608.2,Média,1,730.0,1,0.03501243741713905,712209.77,0.45362620278092264,1
3490,32,7551.64,Empresarial,926.55,Média,1,730.0,1,0.12269520263148136,241652.48,0.5117464683340184,1
415,33,10641.16,Saúde,769.63,Média,0,365.0,1,0.0723257614771322,351158.27999999997,0.48235731568875184,1
4678,76,17269.32,Vida,411.28,Alta,0,365.0,2,0.023815645317823746,1312468.32,0.44364775813316215,1
1500,23,5804.48,Saúde,1031.02,Baixa,1,180.0,0,0.17762486906665198,133503.03999999998,0.44244580890292307,1
4153,44,6188.37,Empresarial,1404.16,Baixa,1,365.0,0,0.22690304555157498,272288.27999999997,0.42178983271394466,1
2120,76,15623.68,Saúde,893.99,Baixa,1,730.0,0,0.05722019396198591,1187399.68,0.5851955768132048,1
1514,22,10704.66,Empresarial,1425.0,Baixa,1,365.0,0,0.13311959464382803,235502.52,0.4688133861373421,1
4883,70,14454.99,Saúde,1226.66,Alta,0,730.0,2,0.08486066057465277,1011849.2999999999,0.43050583806173526,1
4868,48,10264.01,Saúde,507.61,Alta,0,730.0,2,0.04945532983697405,492672.48,0.4420940695638367,1
3927,75,8130.22,Residencial,1272.44,Baixa,0,180.0,0,0.1565074499829033,609766.5,0.5204990845613647,1
4572,67,10352.82,Saúde,1354.74,Baixa,0,730.0,0,0.1308570998046909,693638.94,0.42578001623756495,1
3089,37,3417.99,Saúde,416.18,Alta,1,180.0,2,0.12176162013347026,126465.62999999999,0.4103176808969342,1
3536,53,15373.43,Residencial,725.46,Baixa,0,730.0,0,0.047189208914341176,814791.79,0.4421844172196511,1
2950,59,10359.81,Saúde,556.5,Alta,0,365.0,2,0.05371720137724534,611228.7899999999,0.4840732755301477,1
195,66,6011.47,Saúde,606.75,Alta,0,365.0,2,0.10093205156143173,396757.02,0.4296038720521715,1
1567,55,15815.77,Empresarial,924.84,Alta,0,180.0,2,0.0584758124327807,869867.35,0.40334040345293254,1
1814,58,7340.24,Residencial,1330.31,Baixa,0,730.0,0,0.1812352184669711,425733.92,0.47357142823512216,1
4021,56,7583.35,Empresarial,1157.44,Alta,0,365.0,2,0.15262911510084592,424667.60000000003,0.4135506153910221,1
2741,74,1669.99,Residencial,1151.02,Baixa,0,365.0,0,0.6892376601057492,123579.26,0.5074812656410456,1
1109,52,4149.65,Vida,164.01,Alta,0,730.0,2,0.03952381526152808,215781.8,0.500607448798429,1
230,41,12485.51,Residencial,605.11,Média,0,365.0,1,0.04846498060551792,511905.91000000003,0.4266802173691139,1
1803,44,16288.38,Empresarial,400.93,Baixa,1,730.0,0,0.02461447977024112,716688.72,0.41737798481813426,1
1164,68,2671.72,Auto,603.07,Baixa,1,180.0,0,0.22572350395999585,181676.96,0.49129385898966416,1
1082,59,10133.91,Empresarial,648.43,Média,1,730.0,1,0.06398616131384628,597900.69,0.4924004912021437,1
1442,21,5840.6,Auto,933.32,Alta,1,730.0,2,0.15979865082354552,122652.6,0.44308371687915943,1
374,77,8005.45,Vida,632.51,Média,1,730.0,1,0.07900992448894191,616419.65,0.46273955246186654,1
945,53,14392.24,Auto,974.55,Média,0,730.0,1,0.0677135734256794,762788.72,0.4243012313009682,1
4598,43,14935.35,Empresarial,514.76,Baixa,0,365.0,0,0.03446588128165728,642220.05,0.427272361619271,1
2118,65,11489.03,Saúde,720.26,Alta,0,365.0,2,0.06269110621175156,746786.9500000001,0.4269999256503518,1
4133,63,4979.46,Empresarial,1189.63,Baixa,1,730.0,0,0.23890743172954498,313705.98,0.40368362258141,1
1398,47,5325.4,Auto,387.83,Baixa,1,180.0,0,0.07282645435084689,250293.8,0.48838245401500024,1
2134,38,13468.06,Auto,963.66,Baixa,0,365.0,0,0.07155150778954059,511786.27999999997,0.4205322281040829,1
4843,58,11397.14,Empresarial,1287.0,Alta,1,730.0,2,0.11292306666409292,661034.12,0.48074440047312766,1
1714,75,14210.47,Saúde,1132.33,Média,0,180.0,1,0.07968279726145581,1065785.25,0.4059828028233302,1
2431,78,16065.15,Vida,140.7,Média,0,730.0,1,0.008758088159774418,1253081.7,0.5876266700996086,1
2124,27,11355.31,Saúde,118.44,Baixa,1,730.0,0,0.010430362535236819,306593.37,0.43491274871731084,1
2515,54,5046.1,Empresarial,441.97,Média,0,730.0,1,0.08758645290422307,272489.4,0.44435241616848825,1
4558,80,10593.12,Saúde,868.87,Baixa,0,730.0,0,0.08202210491337773,847449.6000000001,0.47794870787771015,1
160,20,1861.34,Auto,833.76,Alta,1,730.0,2,0.4479353583977135,37226.799999999996,0.7006348025043483,1
241,41,17954.32,Empresarial,516.37,Média,0,365.0,1,0.028760209242121117,736127.12,0.4450684711192148,1
1124,39,8146.14,Residencial,1114.69,Alta,1,365.0,2,0.13683658763537088,317699.46,0.47516258748996776,1
948,39,6313.09,Residencial,774.74,Baixa,0,730.0,0,0.12271961907718724,246210.51,0.4415654629722837,1
2528,55,5333.19,Auto,446.82,Média,0,730.0,1,0.0837810016144184,293325.44999999995,0.41425356945496894,1
3864,59,10231.66,Residencial,986.85,Média,0,180.0,1,0.09645062482529716,603667.94,0.4722057619172102,1
1113,37,10557.18,Auto,723.99,Alta,0,365.0,2,0.06857797252675431,390615.66000000003,0.5102256895530113,1
2270,47,4185.35,Empresarial,119.99,Baixa,1,730.0,0,0.028669047988818135,196711.45,0.5967169988479757,1
2172,28,3021.29,Vida,324.8,Alta,1,730.0,2,0.10750374839886274,84596.12,0.5436288737578943,1
2500,58,15089.84,Empresarial,1212.93,Média,0,730.0,1,0.08038057394909423,875210.72,0.4242939605527035,1
4680,47,14247.09,Saúde,1405.27,Alta,1,730.0,2,0.09863558102040487,669613.23,0.494754562324059,1
3715,69,11025.58,Saúde,237.95,Alta,1,180.0,2,0.02158163107972551,760765.02,0.4258303131237019,1
2553,80,9227.23,Vida,569.11,Média,1,180.0,1,0.06167723141181048,738178.3999999999,0.4271820066290221,1
1236,58,12888.76,Residencial,1202.69,Média,0,180.0,1,0.09331308830329683,747548.08,0.4208173278151346,1
2286,37,13019.89,Vida,430.93,Alta,0,180.0,2,0.03309782187099891,481735.93,0.40045218936679283,1
479,72,12873.98,Vida,168.72,Baixa,1,180.0,0,0.013105504280727483,926926.5599999999,0.45963435057313906,1
4545,32,11743.64,Auto,1188.56,Alta,1,365.0,2,0.10120882452118764,375796.48,0.4548422081678728,1
3735,71,19355.46,Empresarial,1026.26,Alta,0,365.0,2,0.05302173133575746,1374237.66,0.40022148729042084,1
1076,36,9075.88,Auto,792.44,Alta,0,180.0,2,0.08731274543074612,326731.68,0.5500185087170648,1
4448,24,19311.21,Residencial,1443.25,Média,0,730.0,1,0.07473638368595235,463469.04,0.43885200939644115,1
4051,47,11868.98,Saúde,881.78,Alta,1,730.0,2,0.07429282044455379,557842.0599999999,0.4621408484152412,1
1682,35,10100.38,Empresarial,370.18,Baixa,0,730.0,0,0.036650106233626856,353513.3,0.4292367866213833,1
2478,28,15984.19,Saúde,1063.11,Alta,0,730.0,2,0.06651009528790636,447557.32,0.5090728176777856,1
3110,59,4442.48,Residencial,1333.13,Baixa,1,730.0,0,0.3000868884046749,262106.31999999998,0.4493523497711468,1
1464,38,16240.2,Residencial,1230.92,Baixa,0,180.0,0,0.0757946330710213,617127.6,0.4153322509177962,1
1330,42,5506.98,Residencial,385.23,Baixa,1,730.0,0,0.06995304141289782,231293.15999999997,0.4244990461195208,1
1248,41,11494.39,Saúde,747.51,Alta,0,730.0,2,0.06503259416115166,471269.99,0.46324137149503264,1
3495,50,13104.77,Saúde,1418.22,Alta,0,365.0,2,0.10822166279911818,655238.5,0.44810637572440826,1
2518,35,12365.53,Residencial,251.13,Alta,1,365.0,2,0.02030887475102159,432793.55000000005,0.4214555654775367,1
2613,28,14079.25,Auto,846.2,Alta,1,365.0,2,0.060102633307882174,394219.0,0.40782611590812795,1
173,56,10200.68,Empresarial,838.53,Alta,0,730.0,2,0.08220334330652466,571238.0800000001,0.4027067105345806,1
1639,43,10076.21,Residencial,887.16,Baixa,1,365.0,0,0.08804500898651378,433277.02999999997,0.4456839438715678,1
2112,48,19930.21,Saúde,1431.58,Alta,0,365.0,2,0.07182964956214712,956650.08,0.411510301144319,1
3624,56,2206.58,Residencial,160.39,Média,0,730.0,1,0.07268714481233401,123568.48,0.5440133439383129,1
403,64,12151.54,Vida,1491.22,Baixa,0,180.0,0,0.1227186019220609,777698.56,0.5426023197716157,1
3959,76,5672.71,Residencial,1304.07,Média,0,365.0,1,0.2298848345852335,431125.96,0.40177655847445093,1
1389,56,6269.67,Saúde,1210.53,Alta,1,730.0,2,0.1930771476010699,351101.52,0.4452544447985726,1
