iter	Logloss
0	0.6880070332
1	0.6836044451
2	0.6786137659
3	0.6736412453
4	0.6705208579
5	0.665587499
6	0.6589409962
7	0.653443863
8	0.6524655214
9	0.6518755776
10	0.6474614513
11	0.6463907813
12	0.6461874954
13	0.6419018218
14	0.6342064419
15	0.6289461991
16	0.6229218077
17	0.618460675
18	0.6180604398
19	0.617520688
20	0.6142108668
21	0.6102459109
22	0.6076903195
23	0.6031526365
24	0.5998084437
25	0.5977325061
26	0.5976211608
27	0.5931439351
28	0.591353794
29	0.5913537894
30	0.59000264
31	0.5863323826
32	0.5863229029
33	0.5862814224
34	0.5855215151
35	0.5833261464
36	0.5802211342
37	0.5790927417
38	0.5779278051
39	0.5750796984
40	0.5737911371
41	0.5732998703
42	0.5696808868
43	0.569533014
44	0.5695258735
45	0.5663489243
46	0.5649785809
47	0.5629453994
48	0.5628241589
49	0.5627314765
50	0.5627289513
51	0.5599081296
52	0.5583179811
53	0.5576786839
54	0.557030981
55	0.5565680768
56	0.55651698
57	0.5538147229
58	0.5536921413
59	0.5519819998
60	0.5519256083
61	0.5508514207
62	0.5480005641
63	0.5468790704
64	0.5462047959
65	0.5462043841
66	0.5461636781
67	0.5433905234
68	0.5433336514
69	0.5431777151
70	0.5431759428
71	0.5431759311
72	0.5431593279
73	0.5421029002
74	0.539753273
75	0.5373604904
76	0.5355429251
77	0.5331667102
78	0.5320211768
79	0.5302414011
80	0.5281848934
81	0.5281335465
82	0.5263281994
83	0.5258029505
84	0.5231569812
85	0.5184067338
86	0.5176207279
87	0.5156665797
88	0.5143708805
89	0.5133715426
90	0.5127040617
91	0.5099997066
92	0.5089448943
93	0.5064788204
94	0.5026601489
95	0.4999594737
96	0.4944740824
97	0.4921808928
98	0.4902818097
99	0.4897221416
100	0.4881604335
101	0.4870954129
102	0.4862492249
103	0.4834935689
104	0.4810663114
105	0.4788110925
106	0.4763559092
107	0.4742214891
108	0.4731261278
109	0.4720903102
110	0.4702074405
111	0.4685094524
112	0.4665468925
113	0.4662509602
114	0.4646837176
115	0.4628741166
116	0.4601123767
117	0.4577568005
118	0.4566716785
119	0.4548333111
120	0.4537415868
