iter	Passed	Remaining
0	51	25797
1	111	27820
2	128	21279
3	185	23041
4	216	21441
5	273	22558
6	334	23585
7	397	24460
8	415	22649
9	473	23223
10	533	23703
11	590	24027
12	645	24198
13	696	24178
14	759	24545
15	817	24728
16	878	24960
17	937	25116
18	997	25256
19	1056	25360
20	1118	25520
21	1181	25673
22	1249	25918
23	1308	25954
24	1368	26005
25	1385	25253
26	1443	25294
27	1461	24630
28	1518	24658
29	1578	24731
30	1636	24764
31	1695	24797
32	1755	24836
33	1814	24875
34	1879	24965
35	1924	24805
36	1987	24867
37	2046	24884
38	2085	24647
39	2143	24649
40	2205	24692
41	2263	24687
42	2293	24378
43	2309	23930
44	2324	23506
45	2381	23507
46	2443	23554
47	2502	23568
48	2525	23246
49	2583	23251
50	2642	23267
51	2665	22963
52	2681	22617
53	2690	22221
54	2746	22223
55	2805	22244
56	2864	22265
57	2925	22294
58	2988	22335
59	3043	22319
60	3102	22327
61	3130	22117
62	3189	22122
63	3212	21883
64	3271	21892
65	3289	21630
66	3358	21707
67	3422	21745
68	3484	21762
69	3543	21765
70	3605	21785
71	3636	21618
72	3693	21605
73	3754	21615
74	3819	21643
75	3879	21642
76	3940	21647
77	4004	21667
78	4068	21679
79	4106	21560
80	4170	21573
81	4230	21566
82	4290	21555
83	4351	21548
84	4412	21541
85	4472	21530
86	4489	21311
87	4545	21279
88	4604	21261
89	4621	21052
90	4679	21032
91	4742	21031
92	4802	21017
93	4868	21027
94	4927	21006
95	4986	20985
96	5050	20982
97	5113	20974
98	5173	20955
99	5235	20943
100	5302	20946
101	5370	20954
102	5435	20949
103	5497	20932
104	5558	20910
105	5619	20889
106	5684	20880
107	5766	20928
108	5825	20895
109	5885	20866
110	5945	20834
111	6005	20803
112	6067	20778
113	6127	20746
114	6188	20718
115	6251	20694
116	6314	20671
117	6374	20635
118	6434	20601
119	6494	20567
120	6556	20536
121	6615	20495
122	6675	20459
123	6733	20417
124	6793	20379
