iter	F1	Logloss
0	0.6540356196	0.6871707558
1	0.6564393939	0.681642647
2	0.6335831477	0.6749982189
3	0.6443514644	0.670122938
4	0.6416532905	0.6651106263
5	0.6408196063	0.6608487758
6	0.6402733119	0.6560874156
7	0.6465293059	0.6506016956
8	0.654253234	0.6478352083
9	0.662284941	0.6444461868
10	0.6596654998	0.6400168131
11	0.6640821865	0.6362645828
12	0.6613029827	0.6325514532
13	0.6600751434	0.6288346264
14	0.6572732685	0.6255989149
15	0.6607739148	0.6239209526
16	0.6615656268	0.6214746962
17	0.6624902114	0.6196100136
18	0.6594188575	0.6166825564
19	0.6635294118	0.6142962159
20	0.6615566038	0.6113507881
21	0.6612807882	0.6088332156
22	0.6640548482	0.607403681
23	0.6687342508	0.6050627589
24	0.6707787201	0.6035461855
25	0.6709129512	0.6024061559
26	0.6693782684	0.6005183281
27	0.6698953894	0.5992407601
28	0.6698897699	0.5983019283
29	0.6703996911	0.5964093104
30	0.6729294479	0.5954110574
31	0.6729294479	0.593773724
32	0.6720306513	0.5930009113
33	0.6730511396	0.5923432181
34	0.6740458015	0.5916591512
35	0.6754536772	0.5903475199
36	0.6770813488	0.5890842601
37	0.676083222	0.5878686931
38	0.6775789874	0.5871778741
39	0.6813186813	0.586666297
40	0.679977182	0.5851844217
41	0.6777206022	0.5839873768
42	0.6757170172	0.5823550441
43	0.6767233149	0.5817471329
44	0.6772284787	0.5812946256
45	0.6769996173	0.5798535035
46	0.6764931087	0.5791841569
47	0.6756186457	0.5784442498
48	0.6762507188	0.5769664914
49	0.6753846154	0.5758876254
50	0.6742438836	0.5754530525
51	0.6737410766	0.5747918894
52	0.6729876161	0.5739014434
53	0.6741269535	0.5734314055
54	0.6762783545	0.5730556332
55	0.677289307	0.5726017113
56	0.6748844376	0.571621494
57	0.6750192753	0.5710609727
58	0.6749130267	0.5700645883
59	0.6732481611	0.5697272961
60	0.6742790788	0.5689623522
61	0.6741529526	0.5686228864
62	0.6742790788	0.5683551487
63	0.6746568722	0.5678846935
64	0.6745173745	0.5675559342
65	0.6741312741	0.5672506409
66	0.6755452615	0.5666096226
67	0.6756704611	0.5658911391
68	0.6753045833	0.5656012763
69	0.6755762154	0.5650356311
70	0.6767208043	0.564548391
71	0.6763509587	0.5638531269
72	0.6759744037	0.5635152254
73	0.6754812366	0.5631865192
74	0.6765393609	0.5627216341
75	0.6766595289	0.5624834973
76	0.6773063449	0.5621156739
77	0.6771745476	0.5615413163
78	0.6776827372	0.5609962118
79	0.6771745476	0.5606270356
80	0.6770610018	0.5600513227
81	0.6762814266	0.5595954397
82	0.6765451355	0.5593498151
83	0.6752637749	0.55887671
84	0.6756545526	0.5584690824
85	0.676039836	0.558140925
86	0.6765567051	0.5577882577
87	0.6769410847	0.5574695293
88	0.6764303847	0.5571113485
89	0.6767064346	0.5569435509
90	0.6760673717	0.5565531786
91	0.675161733	0.5561449646
92	0.675553813	0.555539216
93	0.6760784314	0.5552088916
94	0.6772424599	0.5546836565
95	0.6765974128	0.5544070376
96	0.6772424599	0.5540713692
97	0.6764705882	0.5538228672
98	0.6759513535	0.5535712434
99	0.6756862745	0.553205135
100	0.6760784314	0.5529236277
101	0.6756968983	0.5523999933
102	0.6754420432	0.5521551056
103	0.6754472184	0.5518555325
104	0.6754523997	0.5515852249
105	0.6757235676	0.5513339993
106	0.6759787527	0.5510545083
107	0.6758512104	0.5507813292
108	0.6759897577	0.5505304107
109	0.6767716535	0.550194804
110	0.6767716535	0.5499322782
111	0.6767656896	0.5496592583
112	0.6770259638	0.5494503111
113	0.6772861357	0.5492656131
114	0.6775526264	0.5490100886
115	0.6775526264	0.5484098989
116	0.6772924046	0.5482595715
117	0.6776794494	0.5478054573
118	0.6774257036	0.547597824
119	0.6779460948	0.5475067611
120	0.6779527559	0.5471566909
121	0.6776989756	0.5468506243
122	0.6776989756	0.5466412388
123	0.6775654914	0.5465015262
124	0.6786065735	0.5463068275
125	0.6787401575	0.5461641923
126	0.6790001968	0.5460144842
127	0.6796536797	0.5458239832
128	0.6801730921	0.5456641415
129	0.680432645	0.5454363254
130	0.6796460177	0.5452201794
131	0.6804407713	0.5449700111
132	0.6808343172	0.5447108431
133	0.6808259587	0.5444721742
134	0.6809514449	0.544207641
135	0.6812192724	0.5439907358
136	0.6801810667	0.5437690766
137	0.6797874434	0.543590476
138	0.6799134369	0.5434710016
139	0.6801730921	0.5432043552
140	0.6812192724	0.5428867072
141	0.6813619366	0.5426554169
142	0.6820149547	0.5425243605
143	0.6826582776	0.5422628247
144	0.6822742475	0.5418693828
145	0.6824085006	0.5416723183
146	0.6826677159	0.5414924126
147	0.6826677159	0.5412617721
