iter	Passed	Remaining
0	6	6256
1	10	5424
2	18	6124
3	23	5847
4	27	5511
5	33	5513
6	36	5174
7	39	4918
8	42	4699
9	47	4675
10	50	4570
11	54	4483
12	57	4395
13	63	4465
14	66	4384
15	69	4278
16	72	4192
17	77	4213
18	81	4187
19	83	4112
20	86	4044
21	89	3999
22	95	4044
23	98	4002
24	102	3980
25	105	3949
26	112	4046
27	116	4028
28	119	3992
29	122	3960
30	127	3988
31	130	3949
32	133	3908
33	136	3883
34	140	3884
35	145	3883
36	148	3856
37	151	3826
38	154	3808
39	159	3829
40	162	3805
41	166	3787
42	169	3769
43	173	3774
44	177	3768
45	180	3748
46	183	3723
47	186	3703
48	191	3720
49	194	3699
50	197	3680
51	200	3657
52	204	3661
53	208	3659
54	212	3656
55	216	3641
56	218	3623
57	225	3658
58	229	3653
59	232	3635
60	235	3621
61	240	3644
62	244	3633
63	247	3616
64	250	3600
65	256	3632
66	259	3619
67	262	3600
68	265	3586
69	269	3582
70	273	3580
71	276	3563
72	279	3549
73	282	3538
74	288	3552
75	291	3540
76	294	3529
77	297	3514
78	301	3509
79	305	3514
80	308	3504
81	311	3490
82	314	3477
83	320	3499
84	324	3491
85	327	3479
86	330	3467
87	335	3481
88	339	3475
89	342	3461
90	345	3448
91	349	3446
92	353	3447
93	356	3440
94	360	3434
95	363	3422
96	369	3435
97	372	3425
98	375	3414
99	378	3405
100	383	3410
101	386	3400
102	389	3388
103	392	3381
104	395	3370
105	400	3376
106	403	3365
107	406	3357
108	409	3348
109	412	3339
110	418	3348
111	421	3342
112	424	3333
113	427	3323
114	432	3331
115	436	3327
116	439	3318
117	442	3307
118	447	3312
119	451	3310
120	454	3301
121	457	3292
122	460	3281
123	465	3288
124	468	3278
125	471	3268
126	474	3258
127	478	3259
128	482	3256
129	485	3248
130	488	3239
131	491	3230
132	496	3239
133	501	3240
134	505	3236
135	507	3225
136	513	3234
137	517	3231
138	520	3223
139	524	3219
140	530	3231
141	534	3227
142	537	3218
143	540	3210
144	545	3216
145	548	3210
146	551	3201
147	554	3194
148	558	3191
149	563	3190
150	566	3183
151	569	3174
152	572	3169
153	577	3171
154	580	3164
155	583	3156
156	586	3149
157	590	3145
158	594	3142
159	597	3134
160	600	3127
161	603	3121
162	608	3125
163	612	3121
164	615	3113
165	618	3106
166	622	3102
167	626	3103
168	630	3099
169	633	3094
170	636	3086
171	642	3092
172	645	3087
173	649	3081
174	651	3073
175	656	3073
176	659	3067
177	662	3060
178	665	3053
179	668	3046
180	674	3050
181	678	3047
182	681	3040
183	684	3035
184	690	3039
185	693	3035
186	696	3027
187	699	3020
188	702	3015
189	707	3015
190	710	3008
191	713	3001
192	716	2995
193	722	3002
194	726	2998
195	729	2994
196	733	2987
197	738	2990
198	741	2985
199	744	2978
200	747	2972
201	751	2969
202	756	2969
203	759	2963
204	762	2957
205	766	2952
206	771	2954
207	774	2950
208	778	2945
209	782	2942
210	787	2943
211	790	2939
212	794	2934
213	797	2927
214	803	2932
215	806	2926
216	809	2920
217	813	2916
218	818	2917
219	821	2912
220	824	2907
221	828	2901
222	832	2902
223	836	2898
224	840	2893
225	843	2887
226	845	2880
227	851	2881
228	853	2874
229	856	2868
230	859	2861
231	863	2860
232	867	2854
233	870	2849
234	873	2842
235	876	2837
236	881	2838
237	885	2834
238	888	2829
239	891	2823
240	895	2820
241	899	2818
242	902	2812
243	905	2805
244	908	2799
245	913	2800
246	917	2796
247	920	2791
248	923	2785
249	927	2783
250	931	2780
251	934	2773
252	937	2768
253	940	2762
254	946	2764
255	950	2761
256	953	2755
257	956	2749
258	961	2750
259	964	2745
260	967	2740
261	970	2734
262	973	2728
263	979	2729
264	982	2725
265	985	2720
266	989	2715
267	994	2717
268	998	2712
269	1001	2706
270	1004	2700
271	1008	2698
272	1012	2695
273	1015	2690
274	1018	2684
275	1021	2680
276	1027	2681
277	1030	2676
278	1033	2671
279	1036	2666
280	1040	2663
281	1044	2660
282	1048	2656
283	1051	2651
284	1055	2647
285	1059	2645
286	1063	2641
287	1066	2636
288	1069	2631
289	1075	2632
290	1078	2627
291	1081	2622
292	1084	2616
293	1088	2614
294	1093	2612
295	1096	2607
296	1099	2602
297	1102	2597
298	1107	2597
299	1111	2593
300	1114	2587
301	1117	2582
302	1122	2583
303	1126	2579
304	1130	2575
305	1133	2571
306	1139	2573
307	1143	2569
308	1147	2565
309	1150	2560
310	1156	2562
311	1160	2559
312	1163	2554
313	1169	2554
314	1173	2551
315	1176	2546
316	1179	2540
317	1182	2535
318	1188	2537
319	1191	2532
320	1194	2526
321	1197	2521
322	1202	2520
323	1206	2516
324	1209	2511
325	1212	2506
326	1215	2502
327	1220	2500
328	1224	2496
329	1227	2492
330	1230	2487
331	1236	2487
332	1239	2483
333	1243	2479
334	1246	2474
335	1252	2474
336	1255	2470
337	1258	2465
338	1261	2460
339	1266	2459
340	1270	2455
341	1273	2450
342	1277	2447
343	1282	2445
344	1286	2441
345	1289	2437
346	1292	2433
347	1297	2430
348	1301	2427
349	1304	2423
350	1307	2418
351	1310	2412
352	1315	2411
353	1318	2406
354	1321	2401
355	1325	2397
356	1328	2393
357	1333	2391
358	1336	2387
359	1339	2381
360	1342	2377
361	1349	2377
362	1353	2374
363	1356	2370
364	1359	2365
365	1366	2367
366	1369	2362
367	1372	2357
368	1375	2352
369	1382	2353
370	1385	2349
371	1388	2344
372	1392	2340
373	1396	2338
374	1400	2334
375	1403	2329
376	1407	2326
377	1413	2325
378	1417	2322
379	1420	2317
380	1423	2313
381	1429	2312
382	1432	2307
383	1435	2303
384	1439	2298
385	1444	2297
386	1448	2294
387	1452	2291
388	1456	2287
389	1462	2287
390	1466	2284
391	1470	2280
392	1474	2277
393	1478	2274
394	1481	2269
395	1484	2264
396	1487	2259
397	1493	2258
398	1497	2254
399	1500	2250
400	1502	2245
401	1507	2241
402	1510	2237
403	1513	2232
404	1516	2227
405	1519	2222
406	1523	2220
407	1527	2216
408	1530	2211
409	1533	2206
410	1536	2202
411	1541	2200
412	1544	2195
413	1547	2190
414	1550	2185
415	1555	2183
416	1559	2180
417	1562	2176
418	1566	2171
419	1568	2166
420	1574	2165
421	1578	2162
422	1581	2157
423	1584	2152
424	1590	2151
425	1593	2147
426	1597	2143
427	1600	2138
428	1606	2137
429	1609	2133
430	1612	2128
431	1615	2123
432	1619	2120
433	1623	2116
434	1626	2111
435	1628	2107
436	1632	2102
437	1637	2100
438	1640	2096
439	1643	2091
440	1646	2087
441	1649	2082
442	1654	2080
443	1657	2076
444	1660	2071
445	1664	2067
446	1670	2066
447	1674	2062
448	1677	2058
449	1680	2053
450	1685	2051
451	1689	2047
452	1692	2043
453	1695	2039
454	1699	2035
455	1703	2032
456	1706	2028
457	1710	2023
458	1713	2019
459	1718	2017
460	1722	2014
461	1725	2009
462	1728	2005
463	1733	2002
464	1736	1998
465	1740	1994
466	1743	1989
467	1746	1985
468	1751	1982
469	1754	1978
470	1757	1974
471	1761	1970
472	1766	1967
473	1770	1964
474	1772	1959
475	1775	1955
476	1778	1950
477	1784	1948
478	1788	1944
479	1791	1940
480	1794	1936
481	1800	1935
482	1804	1931
483	1808	1927
484	1812	1924
485	1816	1921
486	1819	1917
487	1823	1912
488	1826	1908
489	1831	1906
490	1834	1901
491	1837	1896
492	1839	1892
493	1843	1888
494	1848	1885
495	1851	1881
496	1854	1876
497	1857	1872
498	1862	1869
499	1865	1865
500	1868	1860
501	1871	1856
502	1874	1851
503	1880	1850
504	1884	1846
505	1886	1842
506	1889	1837
507	1895	1835
508	1898	1831
509	1902	1827
510	1905	1823
511	1910	1820
512	1913	1816
513	1917	1812
514	1920	1808
515	1924	1804
516	1928	1801
517	1931	1797
518	1934	1792
519	1937	1788
520	1942	1785
521	1945	1781
522	1948	1776
523	1951	1772
524	1954	1767
525	1959	1765
526	1962	1761
527	1966	1757
528	1968	1753
529	1973	1750
530	1977	1746
531	1980	1742
532	1983	1737
533	1986	1733
534	1991	1731
535	1995	1727
536	1998	1723
537	2002	1719
538	2007	1717
539	2010	1712
540	2013	1708
541	2016	1704
542	2020	1700
543	2025	1697
544	2028	1693
545	2031	1689
546	2034	1685
547	2040	1682
548	2043	1678
549	2046	1674
550	2049	1670
551	2054	1667
552	2058	1664
553	2062	1660
554	2065	1656
555	2070	1653
556	2074	1649
557	2077	1645
558	2080	1640
559	2082	1636
560	2088	1634
561	2092	1630
562	2095	1626
563	2098	1622
564	2103	1619
565	2106	1615
566	2109	1611
567	2112	1607
568	2116	1602
569	2121	1600
570	2124	1596
571	2127	1591
572	2130	1587
573	2136	1585
574	2139	1581
575	2142	1577
576	2146	1573
577	2151	1570
578	2155	1567
579	2158	1562
580	2161	1558
581	2164	1554
582	2169	1551
583	2172	1547
584	2175	1543
585	2178	1538
586	2183	1536
587	2187	1532
588	2191	1529
589	2194	1524
590	2199	1522
591	2203	1518
592	2206	1514
593	2210	1510
594	2215	1508
595	2220	1504
596	2223	1500
597	2226	1496
598	2232	1494
599	2236	1490
600	2239	1486
601	2242	1482
602	2245	1478
603	2250	1475
604	2253	1471
605	2256	1466
606	2258	1462
607	2264	1460
608	2267	1456
609	2270	1451
610	2273	1447
611	2276	1443
612	2282	1440
613	2285	1436
614	2288	1432
615	2291	1428
616	2296	1425
617	2300	1422
618	2304	1418
619	2306	1413
620	2312	1411
621	2315	1407
622	2318	1403
623	2321	1398
624	2325	1395
625	2330	1392
626	2333	1388
627	2336	1383
628	2339	1379
629	2344	1376
630	2347	1372
631	2350	1368
632	2353	1364
633	2357	1360
634	2362	1357
635	2366	1354
636	2369	1350
637	2373	1346
638	2378	1343
639	2381	1339
640	2384	1335
641	2387	1331
642	2393	1328
643	2397	1325
644	2400	1321
645	2403	1316
646	2408	1313
647	2411	1310
648	2414	1305
649	2417	1301
650	2420	1297
651	2426	1294
652	2429	1291
653	2433	1287
654	2436	1283
655	2441	1280
656	2445	1276
657	2448	1272
658	2451	1268
659	2455	1264
660	2459	1261
661	2462	1257
662	2465	1253
663	2468	1249
664	2473	1245
665	2476	1241
666	2479	1237
667	2482	1233
668	2484	1229
669	2491	1227
670	2494	1223
671	2497	1218
672	2500	1214
673	2506	1212
674	2509	1208
675	2512	1204
676	2515	1200
677	2519	1196
678	2524	1193
679	2527	1189
680	2530	1185
681	2533	1181
682	2539	1178
683	2542	1174
684	2545	1170
685	2549	1166
686	2554	1163
687	2557	1159
688	2560	1155
689	2563	1151
690	2567	1148
691	2572	1144
692	2575	1140
693	2578	1136
694	2581	1132
695	2586	1129
696	2589	1125
697	2593	1121
698	2596	1118
699	2601	1114
700	2605	1111
701	2609	1107
702	2612	1103
703	2616	1100
704	2620	1096
705	2623	1092
706	2626	1088
707	2629	1084
708	2635	1081
709	2638	1077
710	2641	1073
711	2644	1069
712	2648	1066
713	2652	1062
714	2656	1058
715	2659	1054
716	2662	1050
717	2667	1047
718	2671	1044
719	2675	1040
720	2680	1037
721	2683	1033
722	2687	1029
723	2691	1026
724	2696	1022
725	2699	1018
726	2702	1014
727	2705	1010
728	2711	1008
729	2716	1004
730	2719	1000
731	2722	996
732	2727	993
